	contrast	VisFDR05_tested	reprate8426	reprate12199	reprate16119	reprate20079
1	ACHE_SERT_Npep_E2YRI_vs_E2CEU	23	0.0434782608695652		0.0434782608695652	
2	ACHE_SERT_Npep_E4CEU_vs_E2CEU	26	0.0384615384615385	0.0384615384615385	0.0384615384615385	
3	ACHE_SERT_Npep_E4YRI_vs_E2YRI	50	0.04	0.12	0.04	0.02
4	ACHE_SERT_Npep_E4YRI_vs_E4CEU	8	0.125	0.25	0.125	0.25
5	ACHE_SERT_Npep_E4vE2	10	0.2	0.2	0.2	0.1
6	ACHE_SERT_Npep_Sex	57	0.333333333333333	0.280701754385965	0.333333333333333	0.350877192982456
7	Astro_E2YRI_vs_E2CEU	20	0.05	0.05	0.05	
8	Astro_E4CEU_vs_E2CEU	53	0.0754716981132076	0.0943396226415094	0.0754716981132076	0.0943396226415094
9	Astro_E4YRI_vs_E2YRI	39	0.0512820512820513	0.0512820512820513	0.0512820512820513	0.0512820512820513
10	Astro_E4YRI_vs_E4CEU	34	0.0588235294117647	0.117647058823529	0.0588235294117647	0.0588235294117647
11	Astro_E4vE2	17	0.0588235294117647	0.0588235294117647	0.0588235294117647	
12	Astro_Sex	69	0.521739130434783	0.550724637681159	0.521739130434783	0.594202898550725
13	LC_E2YRI_vs_E2CEU	7	0.142857142857143	0.142857142857143	0.142857142857143	
14	LC_E4CEU_vs_E2CEU	21				
15	LC_E4YRI_vs_E2YRI	13	0.153846153846154	0.153846153846154	0.153846153846154	0.153846153846154
16	LC_E4YRI_vs_E4CEU	15				
17	LC_E4vE2	26	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0384615384615385
18	LC_Sex	57	0.368421052631579	0.263157894736842	0.368421052631579	0.298245614035088
19	Oligo_Astro_E2YRI_vs_E2CEU	25	0.36	0.32	0.36	0.2
20	Oligo_Astro_E4CEU_vs_E2CEU	49	0.183673469387755	0.163265306122449	0.183673469387755	0.102040816326531
21	Oligo_Astro_E4YRI_vs_E2YRI	29	0.0344827586206897		0.0344827586206897	
22	Oligo_Astro_E4YRI_vs_E4CEU	38	0.0526315789473684	0.105263157894737	0.0526315789473684	0.131578947368421
23	Oligo_Astro_E4vE2	26	0.0384615384615385	0.115384615384615	0.0384615384615385	0.0384615384615385
24	Oligo_Astro_Sex	50	0.42	0.4	0.42	0.46
